day,timestr,a,b,c,d,e,f
1,10:17:00,329.08,13.905,94.675,50.29,49.88,17.025
1,10:18:00,329.26,13.915,94.63,50.265,49.87,17.025
1,10:19:00,329.39,14.015,94.58,50.28,49.88,17.025
1,10:20:00,329.445,13.925,94.615,50.29,49.8,17.025
1,10:21:00,329.64,14.03,94.615,50.26,49.74,17.025
1,10:22:00,329.615,13.935,94.625,50.225,49.84,17.025
1,10:23:00,329.84,14.035,94.63,50.23,49.87,17.025
1,10:24:00,329.895,13.935,94.595,50.185,49.83,17.025
1,10:25:00,329.805,13.935,94.58,50.185,49.86,17.025
1,10:26:00,329.685,13.935,94.58,50.235,49.82,17.025
1,10:27:00,329.6,14.045,94.555,50.215,49.87,17.025
1,10:28:00,329.535,13.945,94.425,52.9,49.99,17.025
1,10:29:00,329.265,14.035,94.425,50.17,50.04,17.025
1,10:30:00,329.085,14.025,94.445,50.16,50.09,17.025
1,10:31:00,329.03,14.025,94.42,50.165,50.12,17.025
1,10:32:00,329.055,13.915,94.495,50.175,50.16,17.025
1,10:33:00,329.22,13.905,94.505,50.13,50.18,17.025
1,10:34:00,329.37,13.895,94.565,50.215,50.19,17.025
1,10:35:00,329.355,13.885,94.515,50.21,50.14,17.025
1,10:36:00,329.46,13.885,94.54,50.205,50.17,17.025
1,10:37:00,329.345,13.985,94.535,50.205,50.11,17.025
1,10:38:00,329.49,13.985,94.52,50.225,50.21,17.025
1,10:39:00,329.485,13.915,94.525,50.235,50.26,17.025
1,10:40:00,329.505,14.005,94.555,50.25,50.28,17.025
1,10:41:00,329.68,14.005,94.6,50.275,50.31,17.025
1,10:42:00,329.77,14.015,94.65,50.275,50.29,17.025
1,10:43:00,329.78,13.915,94.64,50.285,50.34,17.025
1,10:44:00,329.74,13.915,94.69,50.275,50.3,17.025
1,10:45:00,329.78,13.915,94.665,50.255,50.32,17.025
1,10:46:00,329.84,14.015,94.62,50.295,50.29,17.025
1,10:47:00,329.845,13.915,94.695,50.355,50.32,17.025
1,10:48:00,329.83,13.995,94.635,50.345,50.23,17.025
1,10:49:00,329.8,13.885,94.655,50.335,50.23,17.025
1,10:50:00,329.83,14.015,94.655,50.335,50.28,17.025
1,10:51:00,329.915,14.005,94.745,50.355,50.26,17.025
1,10:52:00,329.935,14.005,94.76,50.35,50.27,17.025
1,10:53:00,329.915,13.905,94.795,50.335,50.29,17.025
1,10:54:00,329.865,14.015,94.735,50.345,50.33,17.025
1,10:55:00,329.81,13.915,94.62,50.305,50.42,17.025
1,10:56:00,329.79,13.915,94.65,50.305,50.37,17.025
1,10:57:00,329.79,14.015,94.705,50.305,50.33,17.025
1,10:58:00,329.82,14.035,94.715,50.305,50.35,17.025
1,10:59:00,329.91,13.935,94.68,50.265,50.33,17.025
1,11:00:00,329.925,14.025,94.71,50.285,50.32,17.025
1,11:01:00,329.58,14.025,94.755,50.275,50.34,17.025
1,11:02:00,329.66,14.025,94.8,50.275,50.37,17.025
1,11:03:00,329.635,13.93,94.785,50.275,50.38,17.025
1,11:04:00,329.62,14.025,94.765,50.285,50.38,17.025
1,11:05:00,329.525,13.925,94.77,50.255,50.32,17.025
1,11:06:00,329.59,13.925,94.78,50.245,50.3,17.025
1,11:07:00,329.585,14.025,94.775,50.245,50.27,17.025
1,11:08:00,329.425,13.905,94.755,50.205,50.24,17.025
1,11:09:00,329.425,13.915,94.665,50.205,50.18,17.025
1,11:10:00,329.54,13.925,94.615,50.215,50.11,17.025
1,11:11:00,329.505,14.025,94.635,50.185,50.12,17.025
1,11:12:00,329.325,13.895,94.635,50.185,50.12,17.025
1,11:13:00,329.32,14.015,94.66,50.195,50.13,17.025
1,11:14:00,329.37,13.915,94.57,50.155,50.17,17.025
1,11:15:00,329.46,13.915,94.625,50.145,50.22,17.025
1,11:16:00,329.405,13.995,94.575,50.17,50.22,17.025
1,11:17:00,329.525,13.895,94.63,50.205,50.21,17.025
1,11:18:00,329.545,13.905,94.55,54.155,50.22,17.025
1,11:19:00,329.68,14.015,94.595,50.185,50.16,17.025
1,11:20:00,329.625,14.025,94.595,50.17,50.16,17.025
1,11:21:00,329.785,13.925,94.63,50.175,50.09,17.025
1,11:22:00,329.91,13.925,94.635,50.165,50.1,17.025
1,11:23:00,329.875,14.035,94.62,50.175,50.01,17.025
1,11:24:00,329.98,14.035,94.62,50.185,50.04,17.025
1,11:25:00,329.83,13.935,94.585,50.185,50.05,17.025
1,11:26:00,329.865,13.935,94.585,50.19,50.03,17.025
1,11:27:00,329.905,13.945,94.525,50.215,50.02,17.025
1,11:28:00,329.88,14.045,94.555,50.235,50.09,17.025
1,11:29:00,329.625,13.935,94.545,50.225,50.03,17.025
1,11:30:00,329.845,13.935,94.59,50.245,49.98,17.025
1,11:31:00,329.83,14.035,94.615,50.245,49.88,17.025
1,11:32:00,329.81,13.935,94.555,50.195,49.87,17.025
1,11:33:00,329.905,14.035,94.57,52.556999999999995,49.89,17.025
1,11:34:00,329.93,13.945,94.585,50.215,49.9,17.025
1,11:35:00,329.925,13.965,94.595,50.195,49.93,17.285
1,11:36:00,330.045,14.075,94.65,50.215,49.96,17.285
1,11:37:00,329.94,13.985,94.67,50.235,49.96,17.285
1,11:38:00,330.105,14.095,94.655,50.195,49.95,17.285
1,11:39:00,330.155,13.995,94.66,50.245,49.92,17.285
1,11:40:00,329.945,14.085,94.615,50.235,49.83,17.285
1,11:41:00,329.965,14.085,94.64,50.245,49.78,17.285
1,11:42:00,329.835,13.985,94.64,50.245,49.79,17.285
1,11:43:00,329.825,13.985,94.57,50.245,49.77,17.285
1,11:44:00,329.745,14.075,94.54,50.215,49.82,17.285
1,11:45:00,329.53,14.075,94.525,50.235,49.77,17.285
1,11:46:00,329.53,13.975,94.55,50.245,49.7,17.285
1,11:47:00,329.565,13.985,94.55,50.245,49.7,17.285
1,11:48:00,329.505,13.985,94.56,50.245,49.65,17.285
1,11:49:00,329.64,13.985,94.565,50.245,49.72,17.285
1,11:50:00,329.695,14.085,94.545,50.245,49.68,17.285
1,11:51:00,329.715,14.085,94.545,50.245,49.68,17.285
1,11:52:00,329.615,14.075,94.545,50.295,49.76,17.285
1,11:53:00,329.565,14.075,94.57,50.295,49.76,17.285
1,11:54:00,329.565,14.065,94.55,50.285,49.8,17.285
1,11:55:00,329.665,14.065,94.525,50.295,49.85,17.285
1,11:56:00,329.675,13.965,94.525,50.295,49.85,17.285
1,11:57:00,329.715,13.965,94.505,52.611999999999995,49.82,17.285
1,11:58:00,329.75,13.965,94.53,50.28,49.86,17.285
1,11:59:00,329.635,13.975,94.56,50.305,49.9,17.285
1,12:00:00,329.71,14.085,94.555,50.305,49.86,17.285
1,12:01:00,329.685,13.985,94.54,50.285,49.86,17.285
1,12:02:00,329.79,13.985,94.58,50.305,49.79,17.285
1,12:03:00,329.78,13.985,94.555,50.305,49.75,17.285
1,12:04:00,329.8,14.085,94.53,50.27,49.75,17.285
1,12:05:00,329.785,13.985,94.545,50.285,49.65,17.285
1,12:06:00,329.75,14.085,94.595,50.275,49.65,17.285
1,12:07:00,329.745,14.085,94.59,50.28,49.75,17.285
1,12:08:00,329.715,13.985,94.635,50.295,49.74,17.275
1,12:09:00,329.67,13.985,94.655,50.31,49.71,17.275
1,12:10:00,329.77,13.985,94.605,50.305,49.67,17.275
1,12:11:00,329.775,13.975,94.605,50.32,49.63,17.275
1,12:12:00,329.74,13.975,94.605,51.144,49.62,17.275
1,12:13:00,329.74,13.975,94.59,50.33,49.63,17.275
1,12:14:00,329.76,14.085,94.605,50.335,49.61,17.275
1,12:15:00,329.715,14.085,94.63,50.335,49.6,17.275
1,12:16:00,329.675,14.095,94.625,50.375,49.5,17.275
1,12:17:00,329.715,14.095,94.64,50.365,49.53,17.275
1,12:18:00,329.64,14.005,94.64,50.365,49.49,17.275
1,12:19:00,329.72,14.005,94.645,50.375,49.5,17.275
1,12:20:00,329.72,14.015,94.655,50.385,49.48,17.275
1,12:21:00,329.775,14.025,94.645,50.395,49.42,17.275
1,12:22:00,329.785,14.125,94.6,50.385,49.37,17.275
1,12:23:00,329.735,14.125,94.625,50.365,49.38,17.275
1,12:24:00,329.77,14.005,94.645,50.38,49.34,17.275
1,12:25:00,329.67,14.105,94.65,50.385,49.35,17.275
1,12:26:00,329.735,14.005,94.615,50.375,49.46,17.275
1,12:27:00,329.55,14.015,94.61,50.375,49.44,17.275
1,12:28:00,329.725,14.105,94.585,50.355,49.36,17.275
1,12:29:00,329.67,14.005,94.6,50.335,49.34,17.275
1,12:30:00,329.68,14.105,94.635,50.345,49.39,17.275
1,12:31:00,329.72,14.095,94.665,50.345,49.41,17.275
1,12:32:00,329.585,14.095,94.665,50.365,49.48,17.275
1,12:33:00,329.595,13.995,94.68,50.365,49.48,17.275
1,12:34:00,329.575,14.105,94.68,50.365,49.41,17.275
1,12:35:00,329.545,14.115,94.675,50.325,49.44,17.275
1,12:36:00,329.54,14.015,94.675,50.305,49.48,17.275
1,12:37:00,329.535,14.105,94.605,50.285,49.55,17.275
1,12:38:00,329.345,14.015,94.635,47.16,49.47,17.275
1,12:39:00,329.41,14.015,94.66,50.285,49.54,17.275
1,12:40:00,329.39,14.015,94.67,50.285,49.55,17.275
1,12:41:00,329.45,14.015,94.675,50.265,49.56,17.275
1,12:42:00,329.395,14.025,94.67,50.295,49.53,17.275
1,12:43:00,329.345,14.025,94.67,50.29,49.52,17.275
1,12:44:00,329.38,14.025,94.64,50.285,49.46,17.275
1,12:45:00,329.365,14.125,94.645,50.285,49.46,17.275
1,12:46:00,329.47,14.125,94.625,50.265,49.44,17.275
1,12:47:00,329.495,14.125,94.615,50.265,49.47,17.275
1,12:48:00,329.525,14.125,94.6,50.265,49.45,17.275
1,12:49:00,329.49,14.025,94.605,50.275,49.46,17.275
1,12:50:00,329.505,14.135,94.65,50.265,49.48,17.275
1,12:51:00,329.56,14.045,94.655,50.285,49.52,17.275
1,12:52:00,329.61,14.045,94.675,50.265,49.58,17.275
1,12:53:00,329.565,14.045,94.655,50.235,49.61,17.275
1,12:54:00,329.605,14.145,94.635,50.225,49.54,17.275
1,12:55:00,329.62,14.125,94.625,50.225,49.63,17.275
1,12:56:00,329.595,14.015,94.625,50.21,49.68,17.275
1,12:57:00,329.66,14.115,94.64,50.21,49.7,17.275
1,12:58:00,329.57,14.085,94.565,50.185,49.67,17.275
1,12:59:00,329.57,14.105,94.605,50.165,49.71,17.275
1,13:00:00,329.555,13.995,94.585,50.195,49.7,17.275
1,13:01:00,329.585,14.105,94.615,50.215,49.63,17.275
1,13:02:00,329.565,14.105,94.64,50.235,49.74,17.275
1,13:03:00,329.645,14.085,94.665,50.235,49.77,17.275
1,13:04:00,329.625,13.995,94.66,50.255,49.77,17.275
1,13:05:00,329.62,14.095,94.635,50.265,49.74,17.275
1,13:06:00,329.635,14.085,94.635,50.265,49.75,17.275
1,13:07:00,329.63,14.095,94.605,50.275,49.77,17.275
1,13:08:00,329.64,14.095,94.665,50.265,49.76,17.275
1,13:09:00,329.61,14.095,94.63,50.275,49.8,17.275
1,13:10:00,329.58,13.995,94.635,50.275,49.76,17.275
1,13:11:00,329.645,14.085,94.68,50.295,49.77,17.275
1,13:12:00,329.62,14.095,94.665,50.29,49.76,17.275
1,13:13:00,329.675,14.095,94.635,50.295,49.8,17.275
1,13:14:00,329.685,14.105,94.665,50.295,49.82,17.275
1,13:15:00,329.68,14.025,94.675,50.295,49.79,17.275
1,13:16:00,329.665,14.125,94.655,50.295,49.81,17.275
1,13:17:00,329.685,14.135,94.655,50.295,49.8,17.275
1,13:18:00,329.68,14.025,94.63,50.285,49.91,17.275
1,13:19:00,329.68,14.015,94.615,50.285,49.9,17.275
1,13:20:00,329.585,14.115,94.615,50.29,49.91,17.275
1,13:21:00,329.585,14.115,94.62,50.295,49.93,17.275
1,13:22:00,329.625,14.125,94.645,50.295,49.88,17.275
1,13:23:00,329.545,14.125,94.615,50.295,49.82,17.275
1,13:24:00,329.57,14.135,94.615,50.255,49.8,17.275
1,13:25:00,329.52,14.035,94.63,50.255,49.83,17.275
1,13:26:00,329.49,14.135,94.6,50.26,49.93,17.275
1,13:27:00,329.6,14.045,94.585,50.245,50.02,17.275
1,13:28:00,329.645,14.145,94.595,50.23,50.03,17.275
1,13:29:00,329.685,14.145,94.625,50.25,49.92,17.275
1,13:30:00,329.73,14.045,94.645,50.255,49.91,17.275
1,13:31:00,329.79,14.135,94.65,50.265,50.0,17.275
1,13:32:00,329.85,14.045,94.665,50.295,49.99,17.275
1,13:33:00,329.79,14.045,94.645,50.255,50.08,17.275
1,13:34:00,329.81,14.145,94.625,50.255,50.15,17.275
1,13:35:00,329.835,14.045,94.615,50.255,50.15,17.275
1,13:36:00,329.76,14.145,94.605,50.235,50.11,17.275
1,13:37:00,329.835,14.145,94.595,50.225,50.16,17.275
1,13:38:00,329.825,14.145,94.625,50.225,50.15,17.275
1,13:39:00,329.845,14.155,94.635,50.235,50.16,17.275
1,13:40:00,329.81,14.175,94.645,50.235,50.16,17.275
1,13:41:00,329.845,14.075,94.615,50.036,50.16,17.275
1,13:42:00,329.8,14.075,94.63,50.235,50.22,17.275
1,13:43:00,329.855,14.075,94.675,50.275,50.26,17.275
1,13:44:00,329.915,14.185,94.68,50.285,50.21,17.275
1,13:45:00,329.93,14.085,94.675,50.235,50.25,17.275
1,13:46:00,329.945,14.195,94.68,50.215,50.21,17.275
1,13:47:00,329.89,14.095,94.675,50.215,50.2,17.275
1,13:48:00,329.945,14.195,94.675,50.235,50.26,17.275
1,13:49:00,329.925,14.095,94.675,50.265,50.19,17.275
1,13:50:00,329.91,14.195,94.675,50.285,50.26,17.275
1,13:51:00,329.915,14.095,94.68,50.285,50.32,17.275
1,13:52:00,329.915,14.185,94.68,50.295,50.38,17.275
1,13:53:00,329.885,14.095,94.675,50.315,50.43,17.275
1,13:54:00,329.91,14.185,94.665,50.3,50.42,17.275
1,13:55:00,329.965,14.185,94.675,48.891000000000005,50.49,17.275
1,13:56:00,329.93,14.185,94.675,50.305,50.49,17.275
1,13:57:00,329.945,14.195,94.655,50.275,50.46,17.275
1,13:58:00,329.925,14.195,94.67,50.275,50.46,17.275
1,13:59:00,329.925,14.095,94.675,50.275,50.49,17.275
1,14:00:00,329.955,14.095,94.695,50.285,50.54,17.275
1,14:01:00,329.955,14.195,94.695,50.285,50.52,17.275
1,14:02:00,330.025,14.095,94.72,50.295,50.46,17.275
1,14:03:00,330.185,14.195,94.735,50.31,50.49,17.275
1,14:04:00,330.19,14.195,94.755,50.305,50.53,17.275
1,14:05:00,330.2,14.195,94.775,50.305,50.59,17.275
1,14:06:00,330.19,14.125,94.74,50.305,50.61,17.275
1,14:07:00,330.175,14.135,94.765,50.295,50.6,17.275
1,14:08:00,330.125,14.145,94.765,50.265,50.6,17.275
1,14:09:00,330.125,14.245,94.775,50.255,50.49,17.275
1,14:10:00,330.105,14.255,94.745,50.255,50.44,17.275
1,14:11:00,329.88,14.255,94.755,50.255,50.43,17.275
1,14:12:00,329.835,14.135,94.715,50.245,50.46,17.275
1,14:13:00,329.695,14.135,94.715,50.255,50.51,17.275
1,14:14:00,329.64,14.235,94.685,50.245,50.5,17.275
1,14:15:00,329.775,14.115,94.665,50.245,50.55,17.275
1,14:16:00,329.855,14.125,94.635,50.24,50.54,17.275
1,14:17:00,329.72,14.235,94.635,50.245,50.57,17.275
1,14:18:00,329.83,14.145,94.685,50.255,50.57,17.275
1,14:19:00,329.88,14.245,94.695,50.275,50.57,17.275
1,14:20:00,329.775,14.145,94.695,50.275,50.51,17.275
1,14:21:00,329.775,14.135,94.675,50.245,50.53,17.275
1,14:22:00,329.76,14.135,94.7,50.255,50.48,17.275
1,14:23:00,329.745,14.215,94.675,50.255,50.43,17.275
1,14:24:00,329.67,14.205,94.665,50.24,50.42,17.275
1,14:25:00,329.795,14.115,94.705,50.255,50.42,17.275
1,14:26:00,329.77,14.215,94.665,50.255,50.42,17.275
1,14:27:00,329.675,14.095,94.625,50.23,50.34,17.275
1,14:28:00,329.645,14.195,94.605,50.215,50.27,17.275
1,14:29:00,329.52,14.185,94.6,50.205,50.24,17.275
1,14:30:00,329.325,14.175,94.54,50.175,50.22,17.275
1,14:31:00,329.215,14.075,94.595,50.185,50.18,17.275
1,14:32:00,329.24,14.075,94.645,50.215,50.16,17.275
1,14:33:00,329.1,14.175,94.585,50.19,50.17,17.275
1,14:34:00,329.175,14.165,94.6,50.205,50.27,17.275
1,14:35:00,328.77,14.175,94.575,50.175,50.21,17.275
1,14:36:00,329.135,14.095,94.615,50.195,50.19,17.275
1,14:37:00,328.99,14.095,94.6,50.185,50.19,17.275
1,14:38:00,329.03,14.105,94.575,50.185,50.18,17.275
1,14:39:00,329.1,14.225,94.595,50.175,50.16,17.275
1,14:40:00,329.105,14.125,94.645,50.165,50.16,17.275
1,14:41:00,328.91,14.125,94.655,50.145,50.18,17.275
1,14:42:00,329.24,14.235,94.695,50.165,50.2,17.275
1,14:43:00,329.145,14.225,94.655,50.165,50.25,17.275
1,14:44:00,329.18,14.245,94.625,50.165,50.26,17.275
1,14:45:00,329.435,14.245,94.645,50.185,50.27,17.275
1,14:46:00,329.495,14.245,94.635,50.185,50.15,17.275
1,14:47:00,329.445,14.145,94.615,50.175,50.08,17.275
1,14:48:00,329.385,14.145,94.585,50.18,50.0,17.275
1,14:49:00,329.335,14.155,94.535,50.16,50.03,17.275
1,14:50:00,329.645,14.255,94.61,50.195,50.0,17.275
1,14:51:00,329.54,14.255,94.605,50.165,49.91,17.275
1,14:52:00,329.56,14.265,94.565,50.165,49.75,17.275
1,14:53:00,329.59,14.165,94.545,50.165,49.74,17.275
1,14:54:00,329.525,14.265,94.535,50.16,49.72,17.275
1,14:55:00,329.535,14.145,94.545,50.165,49.75,17.275
1,14:56:00,329.57,14.255,94.565,50.165,49.78,17.275
1,14:57:00,329.515,14.265,94.57,50.175,49.8,17.275
1,14:58:00,329.52,14.265,94.565,50.165,49.82,17.275
1,14:59:00,329.545,14.165,94.56,50.155,49.82,17.275
1,15:00:00,329.52,14.165,94.55,50.155,49.79,17.275
1,15:01:00,329.505,14.165,94.535,50.165,49.73,17.275
1,15:02:00,329.345,14.265,94.53,50.185,49.65,17.275
1,15:03:00,329.23,14.165,94.525,50.195,49.56,17.275
1,15:04:00,329.09,14.255,94.535,50.195,49.58,17.275
1,15:05:00,328.935,14.135,94.505,50.16,49.56,17.275
1,15:06:00,328.79,14.235,94.51,50.155,49.52,17.275
1,15:07:00,328.44,14.135,94.41,50.135,49.46,17.275
1,15:08:00,328.44,14.245,94.43,50.11,49.48,17.275
1,15:09:00,328.59,14.245,94.485,50.09,49.52,17.275
1,15:10:00,328.66,14.155,94.525,50.105,49.51,17.275
1,15:11:00,328.86,14.265,94.54,50.105,49.46,17.275
1,15:12:00,328.955,14.265,94.515,50.105,49.49,17.275
1,15:13:00,328.815,14.155,94.465,50.075,49.48,17.275
1,15:14:00,328.725,14.155,94.45,50.095,49.52,17.275
1,15:15:00,328.695,14.155,94.425,50.095,49.62,17.275
1,15:16:00,328.8,14.145,94.435,50.095,49.53,17.275
1,15:17:00,328.53,14.245,94.355,50.035,49.49,17.275
1,15:18:00,328.575,14.225,94.34,50.055,49.52,17.275
1,15:19:00,328.68,14.135,94.405,50.095,49.53,17.275
1,15:20:00,328.735,14.225,94.315,50.055,49.46,17.275
1,15:21:00,328.72,14.205,94.335,50.065,49.41,17.275
1,15:22:00,328.595,14.105,94.285,46.065,49.42,17.275
1,15:23:00,328.51,14.105,94.26,50.005,49.49,17.275
1,15:24:00,328.4,14.195,94.19,50.005,49.5,17.275
1,15:25:00,328.535,14.195,94.195,50.005,49.5,17.275
1,15:26:00,328.765,14.205,94.225,50.02,49.45,17.275
1,15:27:00,328.85,14.095,94.225,50.015,49.44,17.275
1,15:28:00,328.82,14.195,94.175,50.01,49.38,17.275
1,15:29:00,328.88,14.195,94.155,45.852,49.34,17.275
1,15:30:00,328.87,14.095,94.145,50.015,49.29,17.275
1,15:31:00,328.94,14.195,94.185,50.015,49.34,17.275
1,15:32:00,329.06,14.095,94.225,50.025,49.35,17.275
1,15:33:00,329.16,14.105,94.275,50.035,49.35,17.275
1,15:34:00,329.23,14.115,94.295,53.37,49.33,17.275
1,15:35:00,329.32,14.105,94.285,50.065,49.39,17.275
1,15:36:00,329.5,14.215,94.325,50.075,49.4,17.275
1,15:37:00,329.56,14.105,94.295,50.085,49.42,17.275
1,15:38:00,329.585,14.105,94.295,50.085,49.38,17.275
1,15:39:00,329.485,14.105,94.215,50.045,49.33,17.275
1,15:40:00,329.315,14.105,94.175,50.025,49.4,17.275
1,15:41:00,329.36,14.115,94.245,50.035,49.39,17.275
1,15:42:00,329.315,14.235,94.235,50.035,49.39,17.275
1,15:43:00,329.115,14.225,94.165,50.015,49.42,17.275
1,15:44:00,329.06,14.225,94.145,50.015,49.43,17.275
1,15:45:00,328.935,14.105,94.155,50.02,49.45,17.275
1,15:46:00,329.195,14.135,94.235,50.055,49.48,17.275
1,15:47:00,329.36,14.135,94.275,50.065,49.5,17.275
1,15:48:00,329.34,14.125,94.295,50.065,49.55,17.275
1,15:49:00,329.335,14.145,94.325,50.065,49.6,17.275
1,15:50:00,329.275,14.145,94.335,50.085,49.6,17.275
1,15:51:00,329.51,14.255,94.375,50.105,49.6,17.275
1,15:52:00,329.665,14.265,94.385,49.923,49.57,17.275
1,15:53:00,329.47,14.255,94.315,50.065,49.57,17.275
1,15:54:00,329.325,14.245,94.295,50.025,49.58,17.275
1,15:55:00,329.395,14.245,94.295,50.035,49.62,17.275
1,15:56:00,329.2,14.245,94.275,50.035,49.54,17.275
1,15:57:00,329.18,14.145,94.225,50.045,49.58,17.275
1,15:58:00,329.21,14.235,94.165,50.015,49.61,17.275
1,15:59:00,329.45,14.225,94.165,50.035,49.63,17.275
1,16:00:00,329.725,14.135,94.145,50.015,49.6,17.275
2,09:30:00,332.48,14.275,94.575,50.145,49.18,17.275
2,09:31:00,332.08,14.275,94.48,50.175,49.2,17.275
2,09:32:00,331.89,14.165,94.38,50.06,49.16,17.275
2,09:33:00,331.695,14.285,94.37,50.075,49.24,17.275
2,09:34:00,331.84,14.195,94.425,48.925,49.17,17.275
2,09:35:00,331.775,14.275,94.33,50.22,49.18,17.275
2,09:36:00,332.11,14.255,94.41,50.165,49.19,17.275
2,09:37:00,332.075,14.175,94.375,50.165,49.15,17.275
2,09:38:00,332.08,14.195,94.35,50.175,49.08,17.275
2,09:39:00,331.86,14.175,94.34,50.2,48.97,17.275
2,09:40:00,332.025,14.275,94.405,50.225,49.02,17.275
2,09:41:00,331.85,14.155,94.405,50.15,49.04,17.275
2,09:42:00,331.475,14.115,94.43,50.075,49.03,17.275
2,09:43:00,331.125,14.095,94.495,50.035,49.02,17.275
2,09:44:00,331.21,14.085,94.415,50.015,48.94,17.275
2,09:45:00,330.765,14.095,94.43,49.99,48.99,17.275
2,09:46:00,330.81,14.185,94.395,50.015,49.0,17.275
2,09:47:00,331.195,14.185,94.38,50.025,49.05,17.275
2,09:48:00,331.31,14.175,94.36,50.075,48.98,17.275
2,09:49:00,331.135,14.145,94.275,50.025,48.93,17.275
2,09:50:00,331.05,14.125,94.245,50.025,48.94,17.275
2,09:51:00,330.96,14.045,94.27,49.965,49.0,17.275
2,09:52:00,331.045,14.175,94.16,49.985,48.95,17.275
2,09:53:00,331.295,14.055,94.2,50.055,48.96,17.275
2,09:54:00,331.36,14.185,94.18,50.075,49.04,17.275
2,09:55:00,330.99,14.055,94.01,50.045,49.01,17.275
2,09:56:00,331.085,14.14,93.97,50.015,49.03,17.275
2,09:57:00,331.16,14.145,93.89,50.05,49.14,17.275
2,09:58:00,331.235,14.055,93.99,50.09,49.1,17.275
2,09:59:00,331.13,14.055,93.985,50.03,49.1,17.275
2,10:00:00,331.17,14.155,94.005,50.0,49.08,17.275
2,10:01:00,331.405,14.045,94.1,50.005,49.12,17.275
2,10:02:00,331.44,14.135,94.045,50.005,49.17,17.275
2,10:03:00,331.125,14.105,93.915,49.965,49.17,17.275
2,10:04:00,331.25,14.115,93.95,49.985,49.18,17.275
2,10:05:00,331.44,14.025,94.055,50.015,49.1,17.275
2,10:06:00,331.445,14.115,94.05,50.03,49.14,17.275
2,10:07:00,331.23,14.115,94.02,48.67100000000001,49.12,17.275
2,10:08:00,330.785,14.115,93.945,49.995,49.12,17.275
2,10:09:00,330.95,14.005,94.02,49.985,49.19,17.275
2,10:10:00,330.92,14.025,94.08,50.005,49.13,17.275
2,10:11:00,331.04,14.005,94.1,49.995,49.24,17.275
2,10:12:00,330.805,14.005,94.06,49.965,49.21,17.275
2,10:13:00,330.74,14.105,94.04,49.955,49.19,17.275
